No.,Age,Expedition,Location,Name,Year,Nationality,Cause.of.death,Year_descr,Num_Deaths_In_Yr
126,NA,German Expedition,, Prem Thapa,1994, Nepal, Cerebral oedema,Before 2000,5
194,NA,American,5500m N.E. Ridge, Tuk Bahadur Thapa Magar Sherpa,2006, Nepal, Altitude,2000-2020,12
236,45,Destination Himalaya,Between Camps I and II in the Western Cwm, Mingma Sherpa,2013, Nepal, Falling into a crevasse,2000-2020,9
25,36,Japanese Skiing Expedition,5525 m, Kyak Tsering,1970, Nepal, by fall,Before 2000,8
37,NA,1975 British Mount Everest Southwest Face expedition,Below Base Camp, Unknown ; deaf-mute Sherpa porter,75, Nepal, Drowned,Before 2000,1
81,22,,Below North Col, Víctor Hugo Trujillo,1986, Chile, Avalanche,Before 2000,5
55,20,Bill March Canadian Expedition,Icefall, Ang Chuldim,1982, Nepal, Avalanche,Before 2000,16
56,42,Bill March Canadian Expedition,Icefall, Dawa Dorje,1982, Nepal, Avalanche,Before 2000,16
57,38,Bill March Canadian Expedition,Icefall, Pasang Sona,1982, Nepal, Avalanche,Before 2000,16
106,NA,South Korean expedition,, Ang Pinjo,1989, Nepal," Altitude sickness, heart attack",Before 2000,10
98,NA,,South Col, Ang Lhakpa,1988, Nepal, Cerebral thrombosis,Before 2000,14
61,33,Japanese Expedition,Near Summit, Yasuo Kato,1982, Japan, Disappearance (likely accidental death during climb),Before 2000,16
62,NA,Japanese Expedition,Near Summit, Toshiaki Kobayashi,1982, Japan, Disappearance (likely accidental death during climb),Before 2000,16
51,28,Japanese Winter Expedition,6900m W. Cwm, Noboru Takenaka,1981, Japan, Fall,Before 2000,6
118,NA,Spanish Expedition,, Ang Tshering,1993, Nepal, Fall,Before 2000,8
85,NA,,7700m, Tsuttin Dorje,1987, Nepal, Fall,Before 2000,7
162,21,,North Col, Shahid Abdul Khader,1998, India, Died due to fall,Before 2000,6
192,NA,German,8000m N.E., Dieter Kramer,2005, Germany, Exposure,2000-2020,7
193,49,,8200m S.E. Ridge, Robert William Milne,2005, United Kingdom, Organ failure due to freezing conditions,2000-2020,7
145,NA,American,Camp II, Ngawang Topche,1996, Nepal, Lapsed into coma on 23 Apr 1996; later died in hospital,Before 2000,15
1,NA,1922 British Mount Everest Expedition,Below North Col, Dorje,1922, Nepal, Avalanche,Before 2000,7
2,NA,1922 British Mount Everest Expedition,Below North Col, Lhakpa,1922, Nepal, Avalanche,Before 2000,7
3,NA,1922 British Mount Everest Expedition,Below North Col, Norbu,1922, Nepal, Avalanche,Before 2000,7
4,NA,1922 British Mount Everest Expedition,Below North Col, Pasang,1922, Nepal, Avalanche,Before 2000,7
5,NA,1922 British Mount Everest Expedition,Below North Col, Pema,1922, Nepal, Avalanche,Before 2000,7
6,NA,1922 British Mount Everest Expedition,Below North Col, Sange,1922, Nepal, Avalanche,Before 2000,7
7,NA,1922 British Mount Everest Expedition,Below North Col, Temba,1922, Nepal, Avalanche,Before 2000,7
10,22,1924 British Mount Everest Expedition,N.E. Ridge, Andrew Irvine,1924, United Kingdom, Unknown. Body never found,Before 2000,4
11,37,1924 British Mount Everest Expedition,N.E. Ridge, George Mallory,1924, United Kingdom, Possible ice axe injury following a fall. Body found in 1999,Before 2000,4
17,27,Norman Dyhrenfurth's American Mount Everest Expedition,Icefall, Jake Breitenbach,1963, United States, Crushed under serac,Before 2000,1
66,NA,Indian Expedition,Icefall, Ang Rinji,1984, Nepal, Avalanche,Before 2000,12
18,NA,Chinese Everest Expedition,Icefall, Ma Gao-shu,1966, China, Fall,Before 2000,1
220,55,International,7010m, Rick Hitch,2011, United States, Heart attack,2000-2020,9
277,NA,Adventure Consultants,Base Camp, Jangbu Sherpa,2015, Nepal, Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake,2000-2020,19
99,35,,Descending South Col Route, Dimitar Ilievski-Murato,1989, Yugoslavia, Fall,Before 2000,10
121,41,40th anniversary of Tenzing Norgay's climb,8750m S.E. Ridge, Lobsang Tshering Bhutia,1993, Nepal, Fall,Before 2000,8
115,43,,, Subba Singh,1992, Nepal, Heart attack,Before 2000,6
135,40,Mountain Madness,8300m S.E. Ridge, Scott Fischer,1996, United States," Suspected HACE (high-altitude cerebral edema), exhaustion, frostbite and exposure.",Before 2000,15
136,35,Adventure Consultants,South Summit, Rob Hall,1996, New Zealand, Exposure,Before 2000,15
137,46,Adventure Consultants,South Summit, Doug Hansen,1996, United States, Exposure,Before 2000,15
138,31,Adventure Consultants,8700m S.E. Ridge, Andrew Harris,1996, New Zealand, Disappearance (likely accidental death during climb),Before 2000,15
139,47,Adventure Consultants,South Col, Yasuko Namba,1996, Japan, Exposure,Before 2000,15
140,47,Indo-Tibetan Border Police,8600m N.E. Ridge, Dorje Morup,1996, India, Exposure,Before 2000,15
141,28,Indo-Tibetan Border Police,8600m N.E. Ridge, Tsewang Paljor,1996, India, Exposure,Before 2000,15
142,38,Indo-Tibetan Border Police,8600m N.E. Ridge, Tsewang Samanla,1996, India, Exposure,Before 2000,15
278,62,,Base Camp North Side, Charles MacAdams,2016, Canada, Cardiac event,2000-2020,7
74,NA,Navarrese Expedition,7300m, Juanjo Navarro,1985, Spain, Fall,Before 2000,7
223,58,International,8400m The Balcony, Takashi Ozaki,2011, Japan, Altitude sickness,2000-2020,9
307,55,Seven Summit Treks,Near South Summit, Puwei Liu,2021, United States, Exhaustion,After 2020,4
308,41,Seven Summit Treks,Near South Summit, Abdul Waraich,2021, Switzerland, Exhaustion,After 2020,4
8,NA,1924 British Mount Everest Expedition,Above Rongbuk B.C., Man Bahadur,1924, Nepal, Pneumonia,Before 2000,4
164,22,International,S.E. Ridge, Michael Matthews,1999, United Kingdom, ,Before 2000,6
199,NA,Indian,8600m N.E. Ridge, Srikrishna,2006, India, Fall,2000-2020,12
290,45,Seven Summit Treks,Above South Col, Lam Babu Sherpa,2018, Nepal, Disappearance (reportedly suffered from snow blindness),2000-2020,5
52,30,Whittaker American Expedition,8000m, Marty Hoey,1982, United States, Fall,Before 2000,16
200,34,Asian Trekking,8600m N.E. Ridge, David Sharp,2006, United Kingdom, Exposure and/or exhaustion,2000-2020,12
240,50,Russian South-West Face expedition,5600m Icefall, Alexey Bolotov,2013, Russia, Fall,2000-2020,9
42,NA,Yugoslavian Expedition,Icefall, Ang Phu,1979, Nepal, Fall,Before 2000,10
100,NA,,Descending South Col Route, Phu Dorje,1989, Nepal, Fall,Before 2000,10
122,NA,South Korean expedition,8450m S.E. Ridge, Nam Won-woo,1993, South Korea, Fall,Before 2000,8
201,30,,8700m Norton Couloir, Tomas Olsson,2006, Sweden, Fall,2000-2020,12
208,62,Japanese,N.E. Ridge, Yoshitomi Okura,2007, Japan, ,2000-2020,8
296,39,Seven Summit Treks,Balcony, Séamus (Shay) Lawless,2019, Ireland, Presumed dead after fall,2000-2020,13
9,NA,1924 British Mount Everest Expedition,Above Rongbuk B.C., Lance-Naik Shamsherpun,1924, Nepal, Brain hemorrhage,Before 2000,4
53,31,British Mount Everest Expedition,North-East Ridge (approx. 8200m), Peter Boardman,1982, United Kingdom, Disappearance (likely accidental death during climb),Before 2000,16
